Index,Comment
1,"Sách tốt, đẹp mặc dù ko được bọc kính. Nội dung có vẻ khá là hay (mình chỉ mới đọc sơ qua thôi). Quyển sách này có một bản của NXB Lao Động được dịch ""Nghệ thuật tư duy phản biển"" đắt hơn nữa do ngoại hình bắt mắt hơn, nên thấy vui vui khi mua trúng quyển này, với phần dịch cũng rõ ràng dù bìa ko đẹp bằng. Ngoài ra sau mỗi phần còn có vài trang trống để ghi chú nữa. "
2,"- Ship: rất nhanh
- Sách được bọc cẩn thận, nhận sách mới nguyên còn thơm mùi giấy mới, in nét, giấy đẹp, ko có gì để chê cả 
- Nội dung: chưa đọc"
3,"Giao hàng nhanh, đặt 2 ngày đã có hàng. Đóng gói hơi thất vọng, không có bọc chống sốc cũng không có bọc kính nhưng sản phẩm k bị hư hao. Sách khá nhỏ. mình cho 4/5*💕💕💕💕"
4,"Rèn Luyện Tư Duy Phản Biện là một cuốn sách đáng đọc, để chúng ta có thêm một góc nhìn khoa học và sâu sắc hơn về những khả năng của não bộ. Hãy xây dựng cho mình một tư duy hệ thống, bài bản và sắc bén để thích nghi tốt hơn với công việc và cuộc sống. "
5,"Sách ship nhanh, mình chưa kịp đọc nhưng thấy hình thức khá ổn, chữ nghĩa in rõ và đẹp. Có hình minh họa và có phần note riêng cho bạn nào cần nữa."
6,Ảnh không liên quan nhưng sách khá là hay và thú vị. Nó giúp mở ra những khía cạnh khác mà thường ngày mình ko để ý đến. Với những bạn ch có tư duy phản biện thì nên đọc cuốn này. Hoặc có thể quan niệm về tư duy phản biện của sẽ khác khi đọc cuốn này Thu gọn
7,"Chưa đọc nên chứ biết chất lượng sách như nào,nhma được review nên mua,thấy về phần tư duy thì chăm chước cho tí"
8,"Sách giao hàng nhanh, chất lượng sách tốt nhưng nếu Tiki đầu tư thêm xốp bao bọc sách thì ổn hơn, tránh tình trạng viền sách bị gãy như hình"
9,Chữ rõ ràng dễ đọc. Giấy chất lượng. Sách mỏng đọc không ngán. Nội dung dễ tiếp thu.
10,"Nên mua ạ. Chữ rõ ràng, mực không bị nhoè, nội dung bổ ích"
11,"Sách đẹp, im màu đẹp, mới kengg, cửa hàng đóng gói cẩn thận, giao hàng siêu nhanh. Nội dung phải đọc mới đánh giá được"
12,"Bên ngoài thì rất đẹp, sạch sẽ. Còn nội dung bên trong thì khá hữu ích và sau mỗi chương còn có những trang cho ta viết ra những cảm nhận hay bài học, đánh giá. Rất đáng tiền"
13,Nhìn ảnh tưởng sách to nhưng về nhỏ hơn mình nghĩ nhưng chất lượng được lắm
14,E chỉ mong lần sau shop gói hàng kĩ hơn ạ. Nhận hàng mà e xót mấy quyển sách gê. May mà k bị nhàu 😆 shop để 4 quyển trong 1 gói bìa caton . Lúc nhận hộp caton nhàu nát hết:((
15,"Có lẽ do vận chuyển nên ở góc sách có hơi cong, giao trước dự kiến nên hơi bất ngờ. Sách xịn"
16,"Tốt, nhanh, đẹp!"
17,sách hay
18,"Nội dung rõ ràng và mạch lạc, dễ hiểu. Tuy nhiên sách có bị trầy sơ ở bìa. Nói chung chất lượng vẫn tốt lắm, không có gì để chê mà giá cũng khá rẻ."
19,Sách đẹp giấy mịn
20,"Sách gọn nhẹ hơn mình nghĩ nhưng chất lượng thì rất ok, mới không quăn góc hay bụi bẩn, nội dung mình chưa xem qua nhưng về hình thức thì rất tốt tiki giao hàng nhanh. Sẽ ủng hộ tiếp!"
21,đặt mục tiêu mỗi tháng đọc quyển sách và toàn mua ở shop này. chất lượng tốt.nói không với sách lậu
22,"Sách bao bì đóng gói đẹp, chưa đọc nhưng mong là sẽ có cái nhìn tốt với nó"
